Time,Temperature,Z_sigma,technique,kernel,smooth,variogram_model,nugget
10.181818181818182,461.4141414141414,3.596116952635244,kriging,,,spherical,0.0
10.282828282828282,461.4141414141414,3.59073343334393,kriging,,,spherical,0.0
10.383838383838384,461.4141414141414,3.582869986424721,kriging,,,spherical,0.0
10.484848484848484,461.4141414141414,3.572690748984309,kriging,,,spherical,0.0
10.585858585858587,461.4141414141414,3.5604104651354964,kriging,,,spherical,0.0
10.686868686868687,461.4141414141414,3.5462993530772597,kriging,,,spherical,0.0
10.787878787878787,461.4141414141414,3.5306884255016078,kriging,,,spherical,0.0
10.88888888888889,461.4141414141414,3.5139748021053587,kriging,,,spherical,0.0
10.98989898989899,461.4141414141414,3.49662632545383,kriging,,,spherical,0.0
11.09090909090909,461.4141414141414,3.4791845165127904,kriging,,,spherical,0.0
11.191919191919192,461.4141414141414,3.462264612609063,kriging,,,spherical,0.0
11.292929292929292,461.4141414141414,3.446551180848158,kriging,,,spherical,0.0
11.393939393939394,461.4141414141414,3.4327876991127217,kriging,,,spherical,0.0
11.494949494949495,461.4141414141414,3.4217586878193735,kriging,,,spherical,0.0
11.595959595959595,461.4141414141414,3.414263609123858,kriging,,,spherical,0.0
11.696969696969697,461.4141414141414,3.4110829165150593,kriging,,,spherical,0.0
11.797979797979798,461.4141414141414,3.412938271082122,kriging,,,spherical,0.0
11.8989898989899,461.4141414141414,3.420450737134305,kriging,,,spherical,0.0
12.0,461.4141414141414,3.434102193045458,kriging,,,spherical,0.0
2.0,462.82828282828285,6.349788742546496,kriging,,,spherical,0.0
2.101010101010101,462.82828282828285,6.297600907492833,kriging,,,spherical,0.0
2.202020202020202,462.82828282828285,6.245355042752692,kriging,,,spherical,0.0
2.303030303030303,462.82828282828285,6.193072140797843,kriging,,,spherical,0.0
2.404040404040404,462.82828282828285,6.140775162473854,kriging,,,spherical,0.0
2.505050505050505,462.82828282828285,6.08848917468404,kriging,,,spherical,0.0
2.606060606060606,462.82828282828285,6.036241492010539,kriging,,,spherical,0.0
2.707070707070707,462.82828282828285,5.984061820982358,kriging,,,spherical,0.0
2.808080808080808,462.82828282828285,5.931982405308519,kriging,,,spherical,0.0
2.909090909090909,462.82828282828285,5.8800381699168405,kriging,,,spherical,0.0
3.0101010101010104,462.82828282828285,5.828266861101464,kriging,,,spherical,0.0
3.111111111111111,462.82828282828285,5.776709179449436,kriging,,,spherical,0.0
3.212121212121212,462.82828282828285,5.725408901507951,kriging,,,spherical,0.0
3.313131313131313,462.82828282828285,5.674412985369249,kriging,,,spherical,0.0
3.4141414141414144,462.82828282828285,5.623771654483803,kriging,,,spherical,0.0
3.515151515151515,462.82828282828285,5.57353845311054,kriging,,,spherical,0.0
3.616161616161616,462.82828282828285,5.523770265857781,kriging,,,spherical,0.0
3.717171717171717,462.82828282828285,5.474527292866942,kriging,,,spherical,0.0
3.8181818181818183,462.82828282828285,5.425872971324457,kriging,,,spherical,0.0
3.919191919191919,462.82828282828285,5.377873833292661,kriging,,,spherical,0.0
4.020202020202021,462.82828282828285,5.330599289399787,kriging,,,spherical,0.0
4.121212121212121,462.82828282828285,5.284121327820707,kriging,,,spherical,0.0
4.222222222222222,462.82828282828285,5.238514118404155,kriging,,,spherical,0.0
4.3232323232323235,462.82828282828285,5.193853512840489,kriging,,,spherical,0.0
4.424242424242424,462.82828282828285,5.15021643363274,kriging,,,spherical,0.0
4.525252525252525,462.82828282828285,5.107680147437519,kriging,,,spherical,0.0
4.626262626262626,462.82828282828285,5.066321422232359,kriging,,,spherical,0.0
4.727272727272727,462.82828282828285,5.026215572762772,kriging,,,spherical,0.0
4.828282828282829,462.82828282828285,4.987435404853475,kriging,,,spherical,0.0
4.929292929292929,462.82828282828285,4.950050076256261,kriging,,,spherical,0.0
5.03030303030303,462.82828282828285,4.9141238994827425,kriging,,,spherical,0.0
5.1313131313131315,462.82828282828285,4.8797151201077344,kriging,,,spherical,0.0
5.232323232323232,462.82828282828285,4.846874711686387,kriging,,,spherical,0.0
5.333333333333334,462.82828282828285,4.815645234995003,kriging,,,spherical,0.0
5.434343434343434,462.82828282828285,4.78605981391204,kriging,,,spherical,0.0
5.5353535353535355,462.82828282828285,4.758141282083439,kriging,,,spherical,0.0
5.636363636363637,462.82828282828285,4.731901552818926,kriging,,,spherical,0.0
5.737373737373737,462.82828282828285,4.707341258899756,kriging,,,spherical,0.0
5.838383838383838,462.82828282828285,4.6844496990355315,kriging,,,spherical,0.0
5.9393939393939394,462.82828282828285,4.663205113757573,kriging,,,spherical,0.0
6.040404040404041,462.82828282828285,4.6435752963729415,kriging,,,spherical,0.0
6.141414141414141,462.82828282828285,4.625518525343081,kriging,,,spherical,0.0
6.242424242424242,462.82828282828285,4.608984784626027,kriging,,,spherical,0.0
