Time,Temperature,Rp0.2_sigma,technique,kernel,smooth,variogram_model,nugget
7.959595959595959,581.6161616161617,237.81790492099074,kriging,,,spherical,0.0
8.06060606060606,581.6161616161617,237.9468710589822,kriging,,,spherical,0.0
8.161616161616163,581.6161616161617,238.0791915313764,kriging,,,spherical,0.0
8.262626262626263,581.6161616161617,238.21485368942245,kriging,,,spherical,0.0
8.363636363636363,581.6161616161617,238.35384460169433,kriging,,,spherical,0.0
8.464646464646464,581.6161616161617,238.49615105711084,kriging,,,spherical,0.0
8.565656565656566,581.6161616161617,238.64175956799878,kriging,,,spherical,0.0
8.666666666666668,581.6161616161617,238.79065637329333,kriging,,,spherical,0.0
8.767676767676768,581.6161616161617,238.94282744177644,kriging,,,spherical,0.0
8.868686868686869,581.6161616161617,239.09825847544562,kriging,,,spherical,0.0
8.969696969696969,581.6161616161617,239.25693491293433,kriging,,,spherical,0.0
9.070707070707071,581.6161616161617,239.4188419330407,kriging,,,spherical,0.0
9.171717171717171,581.6161616161617,239.58396445833378,kriging,,,spherical,0.0
9.272727272727273,581.6161616161617,239.75228715884165,kriging,,,spherical,0.0
9.373737373737374,581.6161616161617,239.9237944558206,kriging,,,spherical,0.0
9.474747474747474,581.6161616161617,240.09847052561028,kriging,,,spherical,0.0
9.575757575757574,581.6161616161617,240.27629930356923,kriging,,,spherical,0.0
9.676767676767676,581.6161616161617,240.45726448807005,kriging,,,spherical,0.0
9.777777777777779,581.6161616161617,240.64134954460553,kriging,,,spherical,0.0
9.878787878787879,581.6161616161617,240.82853770993583,kriging,,,spherical,0.0
9.97979797979798,581.6161616161617,241.0188119963271,kriging,,,spherical,0.0
10.080808080808081,581.6161616161617,241.2121551958472,kriging,,,spherical,0.0
10.181818181818182,581.6161616161617,241.40854988475564,kriging,,,spherical,0.0
10.282828282828282,581.6161616161617,241.6079784279117,kriging,,,spherical,0.0
10.383838383838384,581.6161616161617,241.81042298330593,kriging,,,spherical,0.0
10.484848484848484,581.6161616161617,242.0158655065982,kriging,,,spherical,0.0
10.585858585858587,581.6161616161617,242.22428775576185,kriging,,,spherical,0.0
10.686868686868687,581.6161616161617,242.4356712957333,kriging,,,spherical,0.0
10.787878787878787,581.6161616161617,242.64999750316895,kriging,,,spherical,0.0
10.88888888888889,581.6161616161617,242.86724757120285,kriging,,,spherical,0.0
10.98989898989899,581.6161616161617,243.08740251429046,kriging,,,spherical,0.0
11.09090909090909,581.6161616161617,243.31044317307177,kriging,,,spherical,0.0
11.191919191919192,581.6161616161617,243.53635021928872,kriging,,,spherical,0.0
11.292929292929292,581.6161616161617,243.76510416073913,kriging,,,spherical,0.0
11.393939393939394,581.6161616161617,243.99668534625658,kriging,,,spherical,0.0
11.494949494949495,581.6161616161617,244.23107397074386,kriging,,,spherical,0.0
11.595959595959595,581.6161616161617,244.46825008020136,kriging,,,spherical,0.0
11.696969696969697,581.6161616161617,244.70819357682967,kriging,,,spherical,0.0
11.797979797979798,581.6161616161617,244.9508842240909,kriging,,,spherical,0.0
11.8989898989899,581.6161616161617,245.1963016518631,kriging,,,spherical,0.0
12.0,581.6161616161617,245.44442536154187,kriging,,,spherical,0.0
2.0,583.030303030303,230.58262004876366,kriging,,,spherical,0.0
2.101010101010101,583.030303030303,230.49663847199508,kriging,,,spherical,0.0
2.202020202020202,583.030303030303,230.41454989985732,kriging,,,spherical,0.0
2.303030303030303,583.030303030303,230.33636214030946,kriging,,,spherical,0.0
2.404040404040404,583.030303030303,230.2620825989298,kriging,,,spherical,0.0
2.505050505050505,583.030303030303,230.19171827774824,kriging,,,spherical,0.0
2.606060606060606,583.030303030303,230.1252757741442,kriging,,,spherical,0.0
2.707070707070707,583.030303030303,230.06276127985905,kriging,,,spherical,0.0
2.808080808080808,583.030303030303,230.00418058005638,kriging,,,spherical,0.0
2.909090909090909,583.030303030303,229.94953905247908,kriging,,,spherical,0.0
