Time,Temperature,Rm_sigma,technique,kernel,smooth,variogram_model,nugget
10.181818181818182,460.0,61.858731456677305,kriging,,,spherical,0.0
10.282828282828282,460.0,61.49167743414826,kriging,,,spherical,0.0
10.383838383838384,460.0,60.96117537880165,kriging,,,spherical,0.0
10.484848484848484,460.0,60.26291033250747,kriging,,,spherical,0.0
10.585858585858587,460.0,59.39096730248249,kriging,,,spherical,0.0
10.686868686868687,460.0,58.33756159669974,kriging,,,spherical,0.0
10.787878787878787,460.0,57.09265265685778,kriging,,,spherical,0.0
10.88888888888889,460.0,55.643391995064185,kriging,,,spherical,0.0
10.98989898989899,460.0,53.9733248590329,kriging,,,spherical,0.0
11.09090909090909,460.0,52.06121070931414,kriging,,,spherical,0.0
11.191919191919192,460.0,49.879226362968815,kriging,,,spherical,0.0
