Time,Temperature,delta_R_sigma,technique,kernel,smooth,variogram_model,nugget
4.121212121212121,563.2323232323232,0.002128021002242074,kriging,,,gaussian,0.0
4.222222222222222,563.2323232323232,0.002128026034088171,kriging,,,gaussian,0.0
4.3232323232323235,563.2323232323232,0.0021280227494910125,kriging,,,gaussian,0.0
4.424242424242424,563.2323232323232,0.0021280262855877833,kriging,,,gaussian,0.0
4.525252525252525,563.2323232323232,0.0021280210429472477,kriging,,,gaussian,0.0
4.626262626262626,563.2323232323232,0.0021280199499100825,kriging,,,gaussian,0.0
4.727272727272727,563.2323232323232,0.00212802299560868,kriging,,,gaussian,0.0
4.828282828282829,563.2323232323232,0.002128024076750697,kriging,,,gaussian,0.0
4.929292929292929,563.2323232323232,0.002128025018310525,kriging,,,gaussian,0.0
5.03030303030303,563.2323232323232,0.0021280214139888128,kriging,,,gaussian,0.0
5.1313131313131315,563.2323232323232,0.0021280200246153944,kriging,,,gaussian,0.0
5.232323232323232,563.2323232323232,0.0021280216796193234,kriging,,,gaussian,0.0
5.333333333333334,563.2323232323232,0.002128020602280542,kriging,,,gaussian,0.0
5.434343434343434,563.2323232323232,0.002128014911615149,kriging,,,gaussian,0.0
5.5353535353535355,563.2323232323232,0.002128020195799721,kriging,,,gaussian,0.0
5.636363636363637,563.2323232323232,0.002128017222998832,kriging,,,gaussian,0.0
5.737373737373737,563.2323232323232,0.002128017422543089,kriging,,,gaussian,0.0
5.838383838383838,563.2323232323232,0.0021280193196206716,kriging,,,gaussian,0.0
5.9393939393939394,563.2323232323232,0.0021280217940462176,kriging,,,gaussian,0.0
6.040404040404041,563.2323232323232,0.002128015161428951,kriging,,,gaussian,0.0
6.141414141414141,563.2323232323232,0.002128012863842475,kriging,,,gaussian,0.0
6.242424242424242,563.2323232323232,0.0021280111144978318,kriging,,,gaussian,0.0
6.343434343434343,563.2323232323232,0.0021280206266145307,kriging,,,gaussian,0.0
6.444444444444445,563.2323232323232,0.0021280193346649608,kriging,,,gaussian,0.0
6.545454545454545,563.2323232323232,0.002128023519715351,kriging,,,gaussian,0.0
6.646464646464646,563.2323232323232,0.0021280145630823304,kriging,,,gaussian,0.0
6.747474747474747,563.2323232323232,0.0021280122151612086,kriging,,,gaussian,0.0
6.848484848484849,563.2323232323232,0.0021280168867135,kriging,,,gaussian,0.0
6.94949494949495,563.2323232323232,0.0021280126607852614,kriging,,,gaussian,0.0
7.05050505050505,563.2323232323232,0.0021280152294090625,kriging,,,gaussian,0.0
7.151515151515151,563.2323232323232,0.002128009363537886,kriging,,,gaussian,0.0
7.252525252525253,563.2323232323232,0.0021280196077768615,kriging,,,gaussian,0.0
7.353535353535354,563.2323232323232,0.0021280168222442314,kriging,,,gaussian,0.0
7.454545454545454,563.2323232323232,0.002128014087775068,kriging,,,gaussian,0.0
7.555555555555555,563.2323232323232,0.002128016365958044,kriging,,,gaussian,0.0
7.656565656565657,563.2323232323232,0.002128016721042806,kriging,,,gaussian,0.0
7.757575757575758,563.2323232323232,0.0021280169160651876,kriging,,,gaussian,0.0
7.858585858585858,563.2323232323232,0.002128012634392432,kriging,,,gaussian,0.0
7.959595959595959,563.2323232323232,0.0021280202801988606,kriging,,,gaussian,0.0
8.06060606060606,563.2323232323232,0.0021280208665968776,kriging,,,gaussian,0.0
8.161616161616163,563.2323232323232,0.002128020296106217,kriging,,,gaussian,0.0
8.262626262626263,563.2323232323232,0.0021280143925282995,kriging,,,gaussian,0.0
8.363636363636363,563.2323232323232,0.0021280147950179674,kriging,,,gaussian,0.0
8.464646464646464,563.2323232323232,0.002128019229428503,kriging,,,gaussian,0.0
8.565656565656566,563.2323232323232,0.0021280197822071746,kriging,,,gaussian,0.0
8.666666666666668,563.2323232323232,0.002128014721330433,kriging,,,gaussian,0.0
8.767676767676768,563.2323232323232,0.0021280199711567814,kriging,,,gaussian,0.0
8.868686868686869,563.2323232323232,0.0021280184926134793,kriging,,,gaussian,0.0
8.969696969696969,563.2323232323232,0.0021280166151643643,kriging,,,gaussian,0.0
9.070707070707071,563.2323232323232,0.002128020023825483,kriging,,,gaussian,0.0
9.171717171717171,563.2323232323232,0.0021280217726665604,kriging,,,gaussian,0.0
9.272727272727273,563.2323232323232,0.002128025241861202,kriging,,,gaussian,0.0
9.373737373737374,563.2323232323232,0.002128020234596671,kriging,,,gaussian,0.0
9.474747474747474,563.2323232323232,0.0021280133948926314,kriging,,,gaussian,0.0
9.575757575757574,563.2323232323232,0.0021280280378916895,kriging,,,gaussian,0.0
9.676767676767676,563.2323232323232,0.002128030149529968,kriging,,,gaussian,0.0
9.777777777777779,563.2323232323232,0.002128031433441741,kriging,,,gaussian,0.0
9.878787878787879,563.2323232323232,0.0021280321739134494,kriging,,,gaussian,0.0
9.97979797979798,563.2323232323232,0.0021280341902149753,kriging,,,gaussian,0.0
10.080808080808081,563.2323232323232,0.0021280409123271282,kriging,,,gaussian,0.0
10.181818181818182,563.2323232323232,0.00212804721944117,kriging,,,gaussian,0.0
10.282828282828282,563.2323232323232,0.002128051500884363,kriging,,,gaussian,0.0
10.383838383838384,563.2323232323232,0.0021280452975685022,kriging,,,gaussian,0.0
10.484848484848484,563.2323232323232,0.002128058321403445,kriging,,,gaussian,0.0
10.585858585858587,563.2323232323232,0.0021280644531011,kriging,,,gaussian,0.0
10.686868686868687,563.2323232323232,0.0021280790491555505,kriging,,,gaussian,0.0
10.787878787878787,563.2323232323232,0.0021280821758672035,kriging,,,gaussian,0.0
10.88888888888889,563.2323232323232,0.0021280897477931565,kriging,,,gaussian,0.0
10.98989898989899,563.2323232323232,0.002128101600165208,kriging,,,gaussian,0.0
11.09090909090909,563.2323232323232,0.0021281064100407542,kriging,,,gaussian,0.0
11.191919191919192,563.2323232323232,0.002128126799419205,kriging,,,gaussian,0.0
11.292929292929292,563.2323232323232,0.002128134748821917,kriging,,,gaussian,0.0
11.393939393939394,563.2323232323232,0.0021281599409007225,kriging,,,gaussian,0.0
11.494949494949495,563.2323232323232,0.002128173411488048,kriging,,,gaussian,0.0
11.595959595959595,563.2323232323232,0.0021281917927204177,kriging,,,gaussian,0.0
11.696969696969697,563.2323232323232,0.002128212488513913,kriging,,,gaussian,0.0
11.797979797979798,563.2323232323232,0.0021282369764359177,kriging,,,gaussian,0.0
11.8989898989899,563.2323232323232,0.0021282584357599317,kriging,,,gaussian,0.0
12.0,563.2323232323232,0.0021282857516357,kriging,,,gaussian,0.0
2.0,564.6464646464647,0.002295476124117463,kriging,,,gaussian,0.0
2.101010101010101,564.6464646464647,0.0022954838314804215,kriging,,,gaussian,0.0
2.202020202020202,564.6464646464647,0.0022954786366772006,kriging,,,gaussian,0.0
2.303030303030303,564.6464646464647,0.0022954763409943385,kriging,,,gaussian,0.0
2.404040404040404,564.6464646464647,0.0022954775727850635,kriging,,,gaussian,0.0
2.505050505050505,564.6464646464647,0.0022954711814197996,kriging,,,gaussian,0.0
2.606060606060606,564.6464646464647,0.0022954732873381707,kriging,,,gaussian,0.0
2.707070707070707,564.6464646464647,0.0022954665054109036,kriging,,,gaussian,0.0
2.808080808080808,564.6464646464647,0.002295477360568223,kriging,,,gaussian,0.0
2.909090909090909,564.6464646464647,0.0022954702856326564,kriging,,,gaussian,0.0
3.0101010101010104,564.6464646464647,0.002295467521117997,kriging,,,gaussian,0.0
3.111111111111111,564.6464646464647,0.0022954682462021244,kriging,,,gaussian,0.0
3.212121212121212,564.6464646464647,0.002295469273306727,kriging,,,gaussian,0.0
3.313131313131313,564.6464646464647,0.0022954687139625065,kriging,,,gaussian,0.0
3.4141414141414144,564.6464646464647,0.002295468170005107,kriging,,,gaussian,0.0
3.515151515151515,564.6464646464647,0.0022954675848874616,kriging,,,gaussian,0.0
3.616161616161616,564.6464646464647,0.0022954701187781284,kriging,,,gaussian,0.0
3.717171717171717,564.6464646464647,0.002295463805844149,kriging,,,gaussian,0.0
3.8181818181818183,564.6464646464647,0.002295465206266388,kriging,,,gaussian,0.0
3.919191919191919,564.6464646464647,0.0022954577931173534,kriging,,,gaussian,0.0
4.020202020202021,564.6464646464647,0.002295459777255895,kriging,,,gaussian,0.0
4.121212121212121,564.6464646464647,0.0022954656789567454,kriging,,,gaussian,0.0
4.222222222222222,564.6464646464647,0.0022954634157207215,kriging,,,gaussian,0.0
4.3232323232323235,564.6464646464647,0.002295466171491953,kriging,,,gaussian,0.0
4.424242424242424,564.6464646464647,0.0022954631326490716,kriging,,,gaussian,0.0
4.525252525252525,564.6464646464647,0.002295458001782041,kriging,,,gaussian,0.0
4.626262626262626,564.6464646464647,0.002295461801756793,kriging,,,gaussian,0.0
4.727272727272727,564.6464646464647,0.002295459563659544,kriging,,,gaussian,0.0
4.828282828282829,564.6464646464647,0.00229545611014179,kriging,,,gaussian,0.0
4.929292929292929,564.6464646464647,0.0022954530592613027,kriging,,,gaussian,0.0
5.03030303030303,564.6464646464647,0.0022954567797813736,kriging,,,gaussian,0.0
5.1313131313131315,564.6464646464647,0.0022954588041675895,kriging,,,gaussian,0.0
5.232323232323232,564.6464646464647,0.0022954606274971146,kriging,,,gaussian,0.0
5.333333333333334,564.6464646464647,0.002295459526796682,kriging,,,gaussian,0.0
5.434343434343434,564.6464646464647,0.0022954530514174795,kriging,,,gaussian,0.0
5.5353535353535355,564.6464646464647,0.0022954555633274247,kriging,,,gaussian,0.0
5.636363636363637,564.6464646464647,0.0022954531647298077,kriging,,,gaussian,0.0
5.737373737373737,564.6464646464647,0.0022954570368096078,kriging,,,gaussian,0.0
5.838383838383838,564.6464646464647,0.0022954515730067523,kriging,,,gaussian,0.0
5.9393939393939394,564.6464646464647,0.0022954560717800897,kriging,,,gaussian,0.0
6.040404040404041,564.6464646464647,0.002295462436908635,kriging,,,gaussian,0.0
6.141414141414141,564.6464646464647,0.002295455748264573,kriging,,,gaussian,0.0
6.242424242424242,564.6464646464647,0.002295451271029251,kriging,,,gaussian,0.0
6.343434343434343,564.6464646464647,0.002295457172634268,kriging,,,gaussian,0.0
6.444444444444445,564.6464646464647,0.0022954580139767163,kriging,,,gaussian,0.0
6.545454545454545,564.6464646464647,0.002295452371598558,kriging,,,gaussian,0.0
6.646464646464646,564.6464646464647,0.0022954550272594695,kriging,,,gaussian,0.0
