Time,Temperature,R_bar_sigma,technique,kernel,smooth,variogram_model,nugget
9.878787878787879,460.0,0.026087940283577558,kriging,,,exponential,0.0
9.97979797979798,460.0,0.026087940454487535,kriging,,,exponential,0.0
10.080808080808081,460.0,0.026087940384349285,kriging,,,exponential,0.0
10.181818181818182,460.0,0.026087940024364042,kriging,,,exponential,0.0
10.282828282828282,460.0,0.026087939124069953,kriging,,,exponential,0.0
10.383838383838384,460.0,0.02608793705706956,kriging,,,exponential,0.0
10.484848484848484,460.0,0.026087932385138356,kriging,,,exponential,0.0
10.585858585858587,460.0,0.02608792185718482,kriging,,,exponential,0.0
10.686868686868687,460.0,0.026087898145269694,kriging,,,exponential,0.0
10.787878787878787,460.0,0.026087844735813697,kriging,,,exponential,0.0
10.88888888888889,460.0,0.026087724387505146,kriging,,,exponential,0.0
10.98989898989899,460.0,0.026087452952777684,kriging,,,exponential,0.0
