Time,Temperature,E_sigma,technique,kernel,smooth,variogram_model,nugget
2.202020202020202,519.3939393939394,3.068407433193123,kriging,,,exponential,0.0
2.303030303030303,519.3939393939394,3.058690348478222,kriging,,,exponential,0.0
2.404040404040404,519.3939393939394,3.0491947594855553,kriging,,,exponential,0.0
2.505050505050505,519.3939393939394,3.0399260185135595,kriging,,,exponential,0.0
2.606060606060606,519.3939393939394,3.03088923436735,kriging,,,exponential,0.0
2.707070707070707,519.3939393939394,3.022089255304311,kriging,,,exponential,0.0
2.808080808080808,519.3939393939394,3.013530653554989,kriging,,,exponential,0.0
2.909090909090909,519.3939393939394,3.0052177116528487,kriging,,,exponential,0.0
3.0101010101010104,519.3939393939394,2.9971544107933945,kriging,,,exponential,0.0
3.111111111111111,519.3939393939394,2.9893444214237515,kriging,,,exponential,0.0
3.212121212121212,519.3939393939394,2.9817910962404484,kriging,,,exponential,0.0
3.313131313131313,519.3939393939394,2.97449746574398,kriging,,,exponential,0.0
3.4141414141414144,519.3939393939394,2.967466236465469,kriging,,,exponential,0.0
3.515151515151515,519.3939393939394,2.960699791945076,kriging,,,exponential,0.0
3.616161616161616,519.3939393939394,2.95420019649926,kriging,,,exponential,0.0
3.717171717171717,519.3939393939394,2.947969201774415,kriging,,,exponential,0.0
3.8181818181818183,519.3939393939394,2.9420082560383323,kriging,,,exponential,0.0
3.919191919191919,519.3939393939394,2.9363185161185728,kriging,,,exponential,0.0
4.020202020202021,519.3939393939394,2.9309008618520624,kriging,,,exponential,0.0
4.121212121212121,519.3939393939394,2.9257559128697066,kriging,,,exponential,0.0
4.222222222222222,519.3939393939394,2.920884047500442,kriging,,,exponential,0.0
4.3232323232323235,519.3939393939394,2.9162854235443345,kriging,,,exponential,0.0
4.424242424242424,519.3939393939394,2.9119600006335964,kriging,,,exponential,0.0
4.525252525252525,519.3939393939394,2.9079075638755665,kriging,,,exponential,0.0
4.626262626262626,519.3939393939394,2.9041277484510766,kriging,,,exponential,0.0
4.727272727272727,519.3939393939394,2.9006200648297873,kriging,,,exponential,0.0
4.828282828282829,519.3939393939394,2.8973839242543495,kriging,,,exponential,0.0
4.929292929292929,519.3939393939394,2.894418664146269,kriging,,,exponential,0.0
5.03030303030303,519.3939393939394,2.891723573088554,kriging,,,exponential,0.0
5.1313131313131315,519.3939393939394,2.889297915051754,kriging,,,exponential,0.0
5.232323232323232,519.3939393939394,2.887140952543323,kriging,,,exponential,0.0
5.333333333333334,519.3939393939394,2.885251968380307,kriging,,,exponential,0.0
5.434343434343434,519.3939393939394,2.8836302858068947,kriging,,,exponential,0.0
5.5353535353535355,519.3939393939394,2.8822752867046892,kriging,,,exponential,0.0
5.636363636363637,519.3939393939394,2.8811864276707615,kriging,,,exponential,0.0
5.737373737373737,519.3939393939394,2.8803632537684187,kriging,,,exponential,0.0
5.838383838383838,519.3939393939394,2.8798054097863113,kriging,,,exponential,0.0
5.9393939393939394,519.3939393939394,2.879512648873118,kriging,,,exponential,0.0
6.040404040404041,519.3939393939394,2.879484838446965,kriging,,,exponential,0.0
6.141414141414141,519.3939393939394,2.8797219633112734,kriging,,,exponential,0.0
6.242424242424242,519.3939393939394,2.880224125941476,kriging,,,exponential,0.0
6.343434343434343,519.3939393939394,2.880991543938776,kriging,,,exponential,0.0
6.444444444444445,519.3939393939394,2.882024544680973,kriging,,,exponential,0.0
6.545454545454545,519.3939393939394,2.8833235572317224,kriging,,,exponential,0.0
6.646464646464646,519.3939393939394,2.8848891016027376,kriging,,,exponential,0.0
6.747474747474747,519.3939393939394,2.886721775495193,kriging,,,exponential,0.0
6.848484848484849,519.3939393939394,2.8888222386786877,kriging,,,exponential,0.0
6.94949494949495,519.3939393939394,2.891191195196708,kriging,,,exponential,0.0
7.05050505050505,519.3939393939394,2.8938293736175167,kriging,,,exponential,0.0
7.151515151515151,519.3939393939394,2.8967375055775406,kriging,,,exponential,0.0
7.252525252525253,519.3939393939394,2.899916302890558,kriging,,,exponential,0.0
7.353535353535354,519.3939393939394,2.9033664335186997,kriging,,,exponential,0.0
7.454545454545454,519.3939393939394,2.907088496721298,kriging,,,exponential,0.0
7.555555555555555,519.3939393939394,2.911082997713284,kriging,,,exponential,0.0
7.656565656565657,519.3939393939394,2.915350322175362,kriging,,,exponential,0.0
7.757575757575758,519.3939393939394,2.9198907109638284,kriging,,,exponential,0.0
7.858585858585858,519.3939393939394,2.9247042353675257,kriging,,,exponential,0.0
