Time,Temperature,A32_sigma,technique,kernel,smooth,variogram_model,nugget
4.626262626262626,488.2828282828283,1.2959874372355142,kriging,,,spherical,0.0
4.727272727272727,488.2828282828283,1.2928990559542408,kriging,,,spherical,0.0
4.828282828282829,488.2828282828283,1.2902249960601928,kriging,,,spherical,0.0
4.929292929292929,488.2828282828283,1.2878672145052033,kriging,,,spherical,0.0
5.03030303030303,488.2828282828283,1.2857484002931292,kriging,,,spherical,0.0
5.1313131313131315,488.2828282828283,1.2838136450517945,kriging,,,spherical,0.0
5.232323232323232,488.2828282828283,1.2820304646214007,kriging,,,spherical,0.0
5.333333333333334,488.2828282828283,1.2803872507973555,kriging,,,spherical,0.0
5.434343434343434,488.2828282828283,1.2788903093002237,kriging,,,spherical,0.0
5.5353535353535355,488.2828282828283,1.27755972066298,kriging,,,spherical,0.0
5.636363636363637,488.2828282828283,1.2764243509424824,kriging,,,spherical,0.0
5.737373737373737,488.2828282828283,1.2755164338158518,kriging,,,spherical,0.0
5.838383838383838,488.2828282828283,1.2748662273639695,kriging,,,spherical,0.0
5.9393939393939394,488.2828282828283,1.2744972918033988,kriging,,,spherical,0.0
6.040404040404041,488.2828282828283,1.274422912676,kriging,,,spherical,0.0
6.141414141414141,488.2828282828283,1.2746440925916342,kriging,,,spherical,0.0
6.242424242424242,488.2828282828283,1.2751493585917655,kriging,,,spherical,0.0
6.343434343434343,488.2828282828283,1.2759164088751422,kriging,,,spherical,0.0
6.444444444444445,488.2828282828283,1.2769153946527212,kriging,,,spherical,0.0
6.545454545454545,488.2828282828283,1.2781134444791529,kriging,,,spherical,0.0
6.646464646464646,488.2828282828283,1.2794799207990666,kriging,,,spherical,0.0
6.747474747474747,488.2828282828283,1.2809918612922242,kriging,,,spherical,0.0
6.848484848484849,488.2828282828283,1.2826390894296498,kriging,,,spherical,0.0
6.94949494949495,488.2828282828283,1.2844285548229255,kriging,,,spherical,0.0
7.05050505050505,488.2828282828283,1.2863875577806256,kriging,,,spherical,0.0
7.151515151515151,488.2828282828283,1.2885656043984988,kriging,,,spherical,0.0
7.252525252525253,488.2828282828283,1.2910347208248365,kriging,,,spherical,0.0
7.353535353535354,488.2828282828283,1.2938881319683089,kriging,,,spherical,0.0
7.454545454545454,488.2828282828283,1.297237292341427,kriging,,,spherical,0.0
7.555555555555555,488.2828282828283,1.3012073576308387,kriging,,,spherical,0.0
7.656565656565657,488.2828282828283,1.30593131161953,kriging,,,spherical,0.0
7.757575757575758,488.2828282828283,1.3115431089095586,kriging,,,spherical,0.0
7.858585858585858,488.2828282828283,1.3181703391085122,kriging,,,spherical,0.0
7.959595959595959,488.2828282828283,1.3259270298807064,kriging,,,spherical,0.0
8.06060606060606,488.2828282828283,1.334907247965555,kriging,,,spherical,0.0
8.161616161616163,488.2828282828283,1.3451801020377616,kriging,,,spherical,0.0
8.262626262626263,488.2828282828283,1.3567865947022428,kriging,,,spherical,0.0
8.363636363636363,488.2828282828283,1.3697385369526416,kriging,,,spherical,0.0
8.464646464646464,488.2828282828283,1.384019474281316,kriging,,,spherical,0.0
8.565656565656566,488.2828282828283,1.3995873349450665,kriging,,,spherical,0.0
8.666666666666668,488.2828282828283,1.4163783435660076,kriging,,,spherical,0.0
8.767676767676768,488.2828282828283,1.4343116702799992,kriging,,,spherical,0.0
8.868686868686869,488.2828282828283,1.4532943037985184,kriging,,,spherical,0.0
8.969696969696969,488.2828282828283,1.4732257227922105,kriging,,,spherical,0.0
9.070707070707071,488.2828282828283,1.4940020618918,kriging,,,spherical,0.0
9.171717171717171,488.2828282828283,1.515519596126394,kriging,,,spherical,0.0
9.272727272727273,488.2828282828283,1.5376774790889547,kriging,,,spherical,0.0
9.373737373737374,488.2828282828283,1.5603797542916176,kriging,,,spherical,0.0
9.474747474747474,488.2828282828283,1.5835367137055343,kriging,,,spherical,0.0
9.575757575757574,488.2828282828283,1.6070657058615185,kriging,,,spherical,0.0
9.676767676767676,488.2828282828283,1.630891504335598,kriging,,,spherical,0.0
9.777777777777779,488.2828282828283,1.654946342600382,kriging,,,spherical,0.0
9.878787878787879,488.2828282828283,1.679169708815928,kriging,,,spherical,0.0
9.97979797979798,488.2828282828283,1.7035079784802025,kriging,,,spherical,0.0
10.080808080808081,488.2828282828283,1.7279139468203433,kriging,,,spherical,0.0
10.181818181818182,488.2828282828283,1.7523463080608432,kriging,,,spherical,0.0
10.282828282828282,488.2828282828283,1.7767691160571186,kriging,,,spherical,0.0
10.383838383838384,488.2828282828283,1.8011512504714398,kriging,,,spherical,0.0
10.484848484848484,488.2828282828283,1.82546590458356,kriging,,,spherical,0.0
10.585858585858587,488.2828282828283,1.8496901047070167,kriging,,,spherical,0.0
10.686868686868687,488.2828282828283,1.87380426669012,kriging,,,spherical,0.0
10.787878787878787,488.2828282828283,1.8977917917865237,kriging,,,spherical,0.0
10.88888888888889,488.2828282828283,1.921638701992948,kriging,,,spherical,0.0
10.98989898989899,488.2828282828283,1.9453333135143074,kriging,,,spherical,0.0
11.09090909090909,488.2828282828283,1.9688659461358353,kriging,,,spherical,0.0
11.191919191919192,488.2828282828283,1.9922286657901356,kriging,,,spherical,0.0
11.292929292929292,488.2828282828283,2.0154150573961656,kriging,,,spherical,0.0
11.393939393939394,488.2828282828283,2.038420025014609,kriging,,,spherical,0.0
11.494949494949495,488.2828282828283,2.0612396164568336,kriging,,,spherical,0.0
11.595959595959595,488.2828282828283,2.0838708696479733,kriging,,,spherical,0.0
11.696969696969697,488.2828282828283,2.106311678244915,kriging,,,spherical,0.0
11.797979797979798,488.2828282828283,2.1285606742363945,kriging,,,spherical,0.0
11.8989898989899,488.2828282828283,2.150617125471996,kriging,,,spherical,0.0
12.0,488.2828282828283,2.1724808462865637,kriging,,,spherical,0.0
2.0,489.6969696969697,1.5255225468617317,kriging,,,spherical,0.0
2.101010101010101,489.6969696969697,1.48845022476861,kriging,,,spherical,0.0
2.202020202020202,489.6969696969697,1.450375409146756,kriging,,,spherical,0.0
2.303030303030303,489.6969696969697,1.4112254595655505,kriging,,,spherical,0.0
2.404040404040404,489.6969696969697,1.3709194018368935,kriging,,,spherical,0.0
2.505050505050505,489.6969696969697,1.3293668050352594,kriging,,,spherical,0.0
2.606060606060606,489.6969696969697,1.2864665930388302,kriging,,,spherical,0.0
2.707070707070707,489.6969696969697,1.2421058949017922,kriging,,,spherical,0.0
2.808080808080808,489.6969696969697,1.1961591652813022,kriging,,,spherical,0.0
2.909090909090909,489.6969696969697,1.1484880625119558,kriging,,,spherical,0.0
3.0101010101010104,489.6969696969697,1.09894309550895,kriging,,,spherical,0.0
3.111111111111111,489.6969696969697,1.047369139380881,kriging,,,spherical,0.0
3.212121212121212,489.6969696969697,0.9936192356074279,kriging,,,spherical,0.0
3.313131313131313,489.6969696969697,0.937586142656373,kriging,,,spherical,0.0
3.4141414141414144,489.6969696969697,0.879272352377222,kriging,,,spherical,0.0
3.515151515151515,489.6969696969697,0.818944494748222,kriging,,,spherical,0.0
3.616161616161616,489.6969696969697,0.7574721874525296,kriging,,,spherical,0.0
3.717171717171717,489.6969696969697,0.6970454857231634,kriging,,,spherical,0.0
3.8181818181818183,489.6969696969697,0.6424825137553303,kriging,,,spherical,0.0
3.919191919191919,489.6969696969697,0.6024920629878979,kriging,,,spherical,0.0
4.020202020202021,489.6969696969697,0.5871740750170067,kriging,,,spherical,0.0
4.121212121212121,489.6969696969697,0.5989300428077401,kriging,,,spherical,0.0
4.222222222222222,489.6969696969697,0.6288294411794967,kriging,,,spherical,0.0
4.3232323232323235,489.6969696969697,0.665487824674661,kriging,,,spherical,0.0
4.424242424242424,489.6969696969697,0.7015548395785303,kriging,,,spherical,0.0
4.525252525252525,489.6969696969697,0.733489386837223,kriging,,,spherical,0.0
4.626262626262626,489.6969696969697,0.7598169266234233,kriging,,,spherical,0.0
4.727272727272727,489.6969696969697,0.7799966933754966,kriging,,,spherical,0.0
4.828282828282829,489.6969696969697,0.7938721460525645,kriging,,,spherical,0.0
4.929292929292929,489.6969696969697,0.8014247138945512,kriging,,,spherical,0.0
5.03030303030303,489.6969696969697,0.8026667205517212,kriging,,,spherical,0.0
5.1313131313131315,489.6969696969697,0.7975989290138518,kriging,,,spherical,0.0
5.232323232323232,489.6969696969697,0.7862035016117099,kriging,,,spherical,0.0
5.333333333333334,489.6969696969697,0.768467687311082,kriging,,,spherical,0.0
5.434343434343434,489.6969696969697,0.7444545612443202,kriging,,,spherical,0.0
5.5353535353535355,489.6969696969697,0.7144697640698144,kriging,,,spherical,0.0
5.636363636363637,489.6969696969697,0.6794370341076182,kriging,,,spherical,0.0
5.737373737373737,489.6969696969697,0.6416990471208247,kriging,,,spherical,0.0
5.838383838383838,489.6969696969697,0.6064356688974322,kriging,,,spherical,0.0
5.9393939393939394,489.6969696969697,0.5827671329160429,kriging,,,spherical,0.0
6.040404040404041,489.6969696969697,0.5803685359491484,kriging,,,spherical,0.0
6.141414141414141,489.6969696969697,0.6004209112761019,kriging,,,spherical,0.0
