Time,Temperature,At_sigma,technique,kernel,smooth,variogram_model,nugget
7.959595959595959,544.8484848484849,0.026378066217052926,kriging,,,gaussian,0.0
8.06060606060606,544.8484848484849,0.02637734466669083,kriging,,,gaussian,0.0
8.161616161616163,544.8484848484849,0.026376050500629158,kriging,,,gaussian,0.0
8.262626262626263,544.8484848484849,0.02637876647160756,kriging,,,gaussian,0.0
8.363636363636363,544.8484848484849,0.02637889114988574,kriging,,,gaussian,0.0
8.464646464646464,544.8484848484849,0.026379235917622524,kriging,,,gaussian,0.0
8.565656565656566,544.8484848484849,0.02637964392577213,kriging,,,gaussian,0.0
8.666666666666668,544.8484848484849,0.02637871553881079,kriging,,,gaussian,0.0
8.767676767676768,544.8484848484849,0.02637939328682284,kriging,,,gaussian,0.0
8.868686868686869,544.8484848484849,0.02637856119303036,kriging,,,gaussian,0.0
8.969696969696969,544.8484848484849,0.0263793335317215,kriging,,,gaussian,0.0
9.070707070707071,544.8484848484849,0.026379156336633194,kriging,,,gaussian,0.0
9.171717171717171,544.8484848484849,0.02637949019841499,kriging,,,gaussian,0.0
9.272727272727273,544.8484848484849,0.026380346734043502,kriging,,,gaussian,0.0
9.373737373737374,544.8484848484849,0.02638145720253062,kriging,,,gaussian,0.0
9.474747474747474,544.8484848484849,0.026381078370790647,kriging,,,gaussian,0.0
9.575757575757574,544.8484848484849,0.026382536094787818,kriging,,,gaussian,0.0
9.676767676767676,544.8484848484849,0.026386012332404986,kriging,,,gaussian,0.0
9.777777777777779,544.8484848484849,0.026387039753955874,kriging,,,gaussian,0.0
9.878787878787879,544.8484848484849,0.02638793793111151,kriging,,,gaussian,0.0
9.97979797979798,544.8484848484849,0.026389469344067152,kriging,,,gaussian,0.0
10.080808080808081,544.8484848484849,0.026393244330574456,kriging,,,gaussian,0.0
10.181818181818182,544.8484848484849,0.0263966436742993,kriging,,,gaussian,0.0
10.282828282828282,544.8484848484849,0.026400050740195986,kriging,,,gaussian,0.0
10.383838383838384,544.8484848484849,0.026401844878784705,kriging,,,gaussian,0.0
10.484848484848484,544.8484848484849,0.026406597071227382,kriging,,,gaussian,0.0
10.585858585858587,544.8484848484849,0.026410336772226775,kriging,,,gaussian,0.0
10.686868686868687,544.8484848484849,0.026416174278572107,kriging,,,gaussian,0.0
10.787878787878787,544.8484848484849,0.02642519235089012,kriging,,,gaussian,0.0
10.88888888888889,544.8484848484849,0.02642973872598167,kriging,,,gaussian,0.0
10.98989898989899,544.8484848484849,0.026436740610884565,kriging,,,gaussian,0.0
11.09090909090909,544.8484848484849,0.02644614550056164,kriging,,,gaussian,0.0
11.191919191919192,544.8484848484849,0.026454973934162605,kriging,,,gaussian,0.0
11.292929292929292,544.8484848484849,0.02646795636234801,kriging,,,gaussian,0.0
11.393939393939394,544.8484848484849,0.026477508795721413,kriging,,,gaussian,0.0
11.494949494949495,544.8484848484849,0.026490255325981475,kriging,,,gaussian,0.0
11.595959595959595,544.8484848484849,0.02650504386873877,kriging,,,gaussian,0.0
11.696969696969697,544.8484848484849,0.02652183793466883,kriging,,,gaussian,0.0
11.797979797979798,544.8484848484849,0.026536299947701698,kriging,,,gaussian,0.0
11.8989898989899,544.8484848484849,0.026558857680279973,kriging,,,gaussian,0.0
12.0,544.8484848484849,0.02657806182747632,kriging,,,gaussian,0.0
2.0,546.2626262626262,0.03682329445135252,kriging,,,gaussian,0.0
2.101010101010101,546.2626262626262,0.0368194258255474,kriging,,,gaussian,0.0
